prac_group,bench,sample_location,algal_counts_per_ml
Group 1,blue,discharge,19940
Group 1,blue,downstream,15740
Group 1,blue,upstream,4060
Group 1,green,discharge,20582
Group 1,green,downstream,18250
Group 1,green,upstream,4417
Group 1,orange,discharge,26334
Group 1,orange,downstream,39612
Group 1,orange,upstream,5833
Group 1,pink,discharge,44875
Group 1,pink,downstream,49875
Group 1,pink,upstream,13750
Group 1,red,discharge,44266
Group 1,red,downstream,66534
Group 1,red,upstream,18466
Group 1,yellow,discharge,35531
Group 1,yellow,downstream,160156
Group 1,yellow,upstream,27250
Group 2,blue,discharge,40650
Group 2,blue,downstream,45900
Group 2,blue,upstream,95400
Group 2,green,discharge,159571
Group 2,green,downstream,188286
Group 2,green,upstream,37375
Group 2,orange,discharge,2102429
Group 2,orange,downstream,1224643
Group 2,orange,upstream,30236
Group 2,pink,discharge,143300
Group 2,pink,downstream,191000
Group 2,pink,upstream,99000
Group 2,red,discharge,17360
Group 2,red,downstream,35070
Group 2,red,upstream,10330
Group 2,yellow,discharge,107810
Group 2,yellow,downstream,50953
Group 2,yellow,upstream,77190
Group 3,blue,discharge,101144
Group 3,blue,downstream,64467
Group 3,blue,upstream,16778
Group 3,green,discharge,12667
Group 3,green,downstream,20867
Group 3,green,upstream,17733
Group 3,orange,discharge,59750
Group 3,orange,downstream,81750
Group 3,orange,upstream,14750
Group 3,pink,discharge,56194
Group 3,pink,downstream,46143
Group 3,pink,upstream,12069
Group 3,red,discharge,7880
Group 3,red,downstream,19440
Group 3,red,upstream,4600
Group 3,yellow,discharge,64994
Group 3,yellow,downstream,129383
Group 3,yellow,upstream,25439
Group 4,blue,discharge,22857
Group 4,blue,downstream,12286
Group 4,blue,upstream,7286
Group 4,green,discharge,33125
Group 4,green,downstream,68500
Group 4,green,upstream,5750
Group 4,orange,discharge,87286
Group 4,orange,downstream,75786
Group 4,orange,upstream,23786
Group 4,pink,discharge,28000
Group 4,pink,downstream,45100
Group 4,pink,upstream,13900
Group 4,red,discharge,21652
Group 4,red,downstream,59405
Group 4,red,upstream,9361
Group 4,yellow,discharge,18000
Group 4,yellow,downstream,21333
Group 4,yellow,upstream,3333
Group 5,green,discharge,16222
Group 5,green,downstream,29778
Group 5,green,upstream,7444
Group 5,orange,discharge,35655
Group 5,orange,downstream,54630
Group 5,orange,upstream,14200
Group 5,pink,discharge,14833
Group 5,pink,downstream,36500
Group 5,pink,upstream,13308
Group 5,red,discharge,47500
Group 5,red,downstream,89283
Group 5,red,upstream,15167
Group 5,yellow,discharge,24875
Group 5,yellow,downstream,30500
Group 5,yellow,upstream,10000
