prac_group,bench,sample_location,total_counts_per_ml,ecoli_counts_per_ml
Group 1,blue,discharge,795157500,296
Group 1,blue,downstream,145972000,209
Group 1,blue,upstream,33684,95
Group 1,green,discharge,17639440000,371
Group 1,green,downstream,36620000,252
Group 1,green,upstream,20920,4
Group 1,orange,discharge,127625000,411
Group 1,orange,downstream,53122222,276
Group 1,orange,upstream,29261,13
Group 1,pink,discharge,424333333,780
Group 1,pink,downstream,385466667,320
Group 1,pink,upstream,22033,7
Group 1,red,discharge,68333333,334
Group 1,red,downstream,193625000,332
Group 1,red,upstream,21233,4
Group 1,yellow,discharge,4576002100,298
Group 1,yellow,downstream,686417600,178
Group 1,yellow,upstream,6956,6
Group 2,blue,discharge,1057500000,62
Group 2,blue,downstream,354800000,32
Group 2,blue,upstream,947500,1
Group 2,green,discharge,2523480000,527
Group 2,green,downstream,1054483333,212
Group 2,green,upstream,915133,7
Group 2,orange,discharge,240666667,500
Group 2,orange,downstream,83666667,227
Group 2,orange,upstream,62333,7
Group 2,pink,discharge,5180000,0
Group 2,pink,downstream,980000,12
Group 2,red,discharge,912857143,4668
Group 2,red,downstream,110857143,2903
Group 2,red,upstream,10491271,145
Group 2,yellow,discharge,84333333,373
Group 2,yellow,downstream,543000000,307
Group 2,yellow,upstream,90667,17
Group 3,blue,discharge,203352143,146
Group 3,blue,downstream,4304762,178
Group 3,blue,upstream,953833,134
Group 3,green,discharge,49807500,312
Group 3,green,downstream,10000000,260
Group 3,green,upstream,13348,8
Group 3,orange,discharge,366667,0
Group 3,orange,downstream,33334,0
Group 3,orange,upstream,12597,239
Group 3,pink,discharge,29366667,313
Group 3,pink,downstream,11366667,270
Group 3,pink,upstream,26300,13
Group 3,red,discharge,250070000,98
Group 3,red,downstream,500000,102
Group 3,red,upstream,12145,52
Group 3,yellow,discharge,8480000,124
Group 3,yellow,downstream,250000,75
Group 3,yellow,upstream,49000,6
Group 4,blue,discharge,409400000,758
Group 4,blue,downstream,157500000,512
Group 4,blue,upstream,1375340,18
Group 4,green,discharge,151100000,481
Group 4,green,downstream,75066667,371
Group 4,green,upstream,66400,14
Group 4,orange,discharge,148333333,353
Group 4,orange,downstream,128500000,216
Group 4,orange,upstream,3371133,24
Group 4,pink,discharge,3446571429,499
Group 4,pink,downstream,101364286,374
Group 4,pink,upstream,7724416,115
Group 4,red,discharge,51175000,286
Group 4,red,downstream,40783364,158
Group 4,red,upstream,17794,7
Group 4,yellow,discharge,114600000,580
Group 4,yellow,downstream,55000000,572
Group 4,yellow,upstream,121700,15
Group 5,blue,discharge,1650000000,57
Group 5,blue,downstream,56000000,18
Group 5,blue,upstream,60000,2
Group 5,green,discharge,159333333,73
Group 5,green,downstream,76666667,149
Group 5,green,upstream,66367,11
Group 5,orange,discharge,66466667,360
Group 5,orange,downstream,35500000,207
Group 5,orange,upstream,31233,131
Group 5,pink,discharge,2281741571,240
Group 5,pink,downstream,1314542857,219
Group 5,pink,upstream,13413707,14
Group 5,red,discharge,96333333,114
Group 5,red,downstream,110333333,249
Group 5,red,upstream,73667,13
Group 5,yellow,discharge,68020000,230
Group 5,yellow,downstream,55650000,0
Group 5,yellow,upstream,14362893,205
